id,name,region
1,Nukus shahar,1
2,Amudaryo tumani,1
3,Beruniy tumani,1
4,Qonliko’l tumani,1
5,Qorao’zak tumani,1
6,Kegeyli tumani,1
7,Qo’ng’irot tumani,1
8,Muynoq tumani,1
9,Nukus tumani,1
10,Taxtako’prik tumani,1
11,To’rtko’l tumani,1
12,Xo’jayli tumani,1
13,Chimboy tumani,1
14,Sho’manay tumani,1
15,Ellikqal’a tumani,1
16,Taxiatosh,1
17,Bo'zatov tumani,1
18,Navoiy shahar,2
19,Karmana tumani,2
20,Navbaxor tumani,2
21,Nurota tumani,2
22,Xatirchi tumani,2
23,Qiziltepa tumani,2
24,Konimex tumani,2
25,Uchquduq tumani,2
26,Zarafshon shahar,2
27,Tomdi tumani,2
28,Qarshi shahar,3
29,G’uzor tumani,3
30,Qarshi tumani,3
31,Kasbi tumani,3
32,Koson tumani,3
33,Kitob tumani,3
34,Mirishkor tumani,3
35,Muborak tumani,3
36,Nishon tumani,3
37,Chiroqchi tumani,3
38,Shaxrisabz tumani,3
39,Qamashi tumani,3
40,Dexqonobod tumani,3
41,Yakkabog’ tumani,3
42,Shaxrisabz shahar,3
43,Ko'kdala tumani,3
44,Yunusobod tumani,4
45,Mirobod tumani,4
46,Yakkasaroy tumani,4
47,Olmazor tumani,4
48,Bektemir tumani,4
49,Yashnobod tumani,4
50,Chilonzor tumani,4
51,Uchtepa tumani,4
52,Mirzo Ulug’bek tumani,4
53,Sergeli tumani,4
54,Shayxontoxur tumanI,4
55,Yangihayot tumani,4
56,Bandixon tumani,5
57,Angor tumani,5
58,Boysun tumani,5
59,Denov tumani,5
60,Jarqo’rg’on tumani,5
61,Qiziriq tumani,5
62,Qumqo’rg’on tumani,5
63,Muzrabot tumani,5
64,Oltinsoy tumani,5
65,Sariosiyo tumani,5
66,Termiz tumani,5
67,Termiz shahar,5
68,Uzun tumani,5
69,Sherobod tumani,5
70,Sho’rchi tumani,5
71,Yangi Namangan tumani,6
72,Namangan shahar,6
73,Mingbuloq tumani,6
74,Pop tumani,6
75,Norin tumani,6
76,To’raqo’rg’on tumani,6
77,Uychi tumani,6
78,Chortoq tumani,6
79,Chust tumani,6
80,Yangiqo’rg’on tumani,6
81,Namangan tumani,6
82,Uchqo’rg’on tumani,6
83,Kosonsoy tumani,6
84,Davlatobod tumani,6
85,Buxoro shahar,7
86,Buxoro tuman,7
87,Vobkent tuman,7
88,G’ijduvon tuman,7
89,Jondor tuman,7
90,Kogon tuman,7
91,Olot tuman,7
92,Peshku tuman,7
93,Romitan tuman,7
94,Shofirkon tuman,7
95,Qorako’l tuman,7
96,Qorovulbozor tuman,7
97,Kogon shahar,7
98,Oqoltin tumani,8
99,Boyovut tumani,8
100,Guliston tumani,8
101,Mirzaobod tumani,8
102,Sayxunobod tumani,8
103,Sirdaryo tumani,8
104,Sardoba tumani,8
105,Xovos tumani,8
106,Guliston shahar,8
107,Shirin shahar,8
108,Yangiyer shahar,8
109,Jizzax shahar,9
110,Baxmal tumani,9
111,Do’stlik tumani,9
112,G’allaorol tumani,9
113,Jizzax tumani,9
114,Zarbdor tumani,9
115,Zafarobod tumani,9
116,Zomin tumani,9
117,Paxtakor tumani,9
118,Mirzacho’l tumani,9
119,Forish tumani,9
120,Yangiobod tumani,9
121,Arnasoy tumani,9
122,Marg’ilon shahar,10
123,Farg’ona shahar,10
124,Quvasoy shahar,10
125,Qo’qon shahar,10
126,Bog’dod tumani,10
127,Beshariq tumani,10
128,Buvayda tumani,10
129,Dang’ara tumani,10
130,Yozyovon tumani,10
131,Oltiariq tumani,10
132,Qo’shtepa tumani,10
133,Rishton tumani,10
134,So’x tumani,10
135,Toshloq tumani,10
136,Uchko’prik tumani,10
137,Farg’ona tumani,10
138,Furqat tumani,10
139,O’zbekiston tumani,10
140,Quva tumani,10
141,Urganch shahar,11
142,Bog’ot tumani,11
143,Gurlan tumani,11
144,Xozarasp tumani,11
145,Xiva tumani,11
146,Xonqa tumani,11
147,Urganch tumani,11
148,Qo’shko’pir tumani,11
149,Shovot tumani,11
150,Yangiariq tumani,11
151,Yangibozor tumani,11
152,Xiva shahar,11
153,Tuproqqala tumani,11
154,Pitnak shahar,11
155,Andijon shahar,12
156,Xonobod shahar,12
157,Andijon tumani,12
158,Asaka tumani,12
159,Baliqchi tumani,12
160,Bo’z tumani,12
161,Buloqboshi tumani,12
162,Jalolquduq tumani,12
163,Izboskan tumani,12
164,Ulug’nor tumani,12
165,Qo’rg’ontepa tumani,12
166,Marxamat tumani,12
167,Oltinko’l tumani,12
168,Paxtaobod tumani,12
169,Ho’jaobod tumani,12
170,Shaxrixon tumani,12
171,Qorasuv shahar,12
172,Samarqand shahar,13
173,Oqdaryo tumani,13
174,Bulung’ur tumani,13
175,Jomboy tumani,13
176,Kattaqo’rg’on tumani,13
177,Kattaqo’rg’on shahar,13
178,Qo’shrabod tumani,13
179,Narpay tumani,13
180,Nurobod tumani,13
181,Payariq tumani,13
182,Pastdarg’om tumani,13
183,Paxtachi tumani,13
184,Samarqand tumani,13
185,Tayloq tumani,13
186,Urgut tumani,13
187,Ishtixon tumani,13
188,Angren shahar,14
189,Bekobod shahar,14
190,Olmaliq shahar,14
191,Chirchiq shahar,14
192,Bekobod tumani,14
193,Bo’ka tumani,14
194,Bo’stonliq tumani,14
195,Qibray tumani,14
196,Zangiota tumani,14
197,Quyichirchiq tumani,14
198,Oqqo’rg’on tumani,14
199,Oxongaron tumani,14
200,Parkent tumani,14
201,Pskent tumani,14
202,O’rtachirchiq tumani,14
203,Chinoz tumani,14
204,Yuqorichirchiq tumani,14
205,Yangiyo’l tumani,14
206,Тошкент тумани,14
207,Янгийўл шаҳар,14
208,Нурафшон шаҳар,14
209,Оҳангарон шаҳар,14
